,Player,DOB,Age,Details,Image
0,Hardik,11-10-1993,31,Hardik Pandya - Right hand batter and medium fast bowler-All rounder,hardik.jpg
1,Axar,20-01-1994,31,Axar Patel - Left hand better and arm orthodox bowler-Spin all rounder,axar.jpg
2,W.Sundar,05-10-1999,25,Washington Sundar-Left better and off spin bowler -Spin all rounder,washi.jpg
3,R.Jadeja,06-12-1988,36,Ravindra Jadeja- left hand better and arm orthodox bowler-Spin all rounder,jadeja.jpg
4,Thakur,16-10-1991,33,Shardul Thakur- Rigth hand better and medium fast bowler-All rounder,thakur.jpg
5,Krunal,24-03-1991,33,Krunal Pandya- Left hand better and arm orthodox bowler-Spin all rounder,krunal.jpg
